# EntrezGeneId,ABAGeneSymbol
13406,Dmp1
13409,Tmc1
13411,Dnahc11
13417,Dnahc8
13418,Dnajc1
13419,Dnase1
13421,Dnase1l3
13423,Dnase2a
13424,Dync1h1
13426,Dync1i1
13427,Dync1i2
13429,Dnm1
13430,Dnm2
13433,Dnmt1
13434,Dnmt2
13435,Dnmt3a
13436,Dnmt3b
13437,Dnpep
13445,Cdk2ap1
13446,Doc2a
13447,Doc2b
13448,Dok1
13449,Dok2
13476,Reep5
13478,Dpagt1
13479,Dpep1
13480,Dpm1
13481,Dpm2
13482,Dpp4
13483,Dpp6
13486,Dr1
13487,Slc26a3
13488,Drd1a
13489,Drd2
13490,Drd3
13491,Drd4
13492,Drd5
13494,Drg1
13495,Drg2
13496,Arid3a
13497,Drp2
13498,Atn1
13505,Dsc1
13506,Dsc2
13508,Dscam
13511,Dsg2
13512,Dsg3
13516,Dspg3
13517,Dspp
13518,Dst
13521,Slc26a2
13522,Adam28
13524,Adam18
13525,Adam26a
13526,Adam24
13527,Dtna
13528,Dtnb
13529,Dtprp
13537,Dusp2
13542,Dvl1
13543,Dvl2
13544,Dvl3
13548,Dyrk1a
13549,Dyrk1b
13555,E2f1
13557,E2f3
13559,E2f5
13560,E4f1
13589,Mapre1
13590,Lefty1
13591,Ebf1
13592,Ebf2
13593,Ebf3
13595,Ebp
13599,Ecel1
13601,Ecm1
13602,Sparcl1
13603,Opn3
13605,Ect2
13607,Eda
13608,Edar
13609,Edg1
13610,Edg3
13611,Edg6
13612,Edil3
13614,Edn1
13615,Edn2
13616,Edn3
13618,Ednrb
13619,Phc1
13626,Eed
13627,Eef1a1
13628,Eef1a2
13629,Eef2
13631,Eef2k
13636,Efna1
13637,Efna2
13638,Efna3
13640,Efna5
13641,Efnb1
13642,Efnb2
13643,Efnb3
13644,Efs
13645,Egf
13648,Klk1b9
13649,Egfr
13650,Rhbdf1
13653,Egr1
13654,Egr2
13655,Egr3
13656,Egr4
13660,Ehd1
13661,Ehf
13663,Ei24
13664,Eif1a
13665,Eif2s1
13666,Eif2ak3
13667,Eif2b4
13669,Eif3s10
13680,Ddx19a
13681,Eif4a1
13682,Eif4a2
13684,Eif4e
13685,Eif4ebp1
13688,Eif4ebp2
13690,Eif4g2
13706,Ela2a
13710,Elf3
13711,Elf5
13712,Elk1
13714,Elk4
13716,Ell
13717,Eln
13722,Scye1
13723,Emb
13726,Emd
13728,Mark2
13730,Emp1
13731,Emp2
13732,Emp3
13733,Emr1
13797,Emx2
13798,En1
13799,En2
13800,Enah
13801,Enam
13803,Enc1
13804,Endog
13805,Eng
13806,Eno1
13807,Eno2
13808,Eno3
13809,Enpep
13813,Eomes
13819,Epas1
13821,Epb4.1l1
13822,Epb4.1l2
13823,Epb4.1l3
13824,Epb4.1l4a
13828,Epb4.2
13829,Epb4.9
13830,Stom
13831,Epc1
13835,Epha1
13836,Epha2
13837,Epha3
13838,Epha4
13839,Epha5
13840,Epha6
13841,Epha7
13842,Epha8
13844,Ephb2
13845,Ephb3
13846,Ephb4
13848,Ephb6
13849,Ephx1
13850,Ephx2
13852,Stx2
13853,Epm2a
13854,Epn1
13855,Epn2
13856,Epo
13857,Epor
13858,Eps15
13859,Eps15l1
13860,Eps8
13861,Epx
13863,Lcn5
13864,Nr2f6
13865,Nr2f1
13866,Erbb2
13867,Erbb3
13869,Erbb4
13870,Ercc1
13871,Ercc2
13872,Ercc3
13874,Ereg
13875,Erf
13876,Erg
13877,Erh
13884,Es1
13885,Esd
13909,LOC13909
13915,Dppa5
13924,Ptprv
13929,X83328
13972,Gnb1l
13982,Esr1
13983,Esr2
13984,Esx1
13990,Smarcad1
13992,Khdrbs3
13998,Fgd6
14004,Chchd2
14007,Cugbp2
14008,Etv2
14009,Etv1
14011,Etv6
14012,Eva1
14013,Evi1
14017,Evi2a
14020,Evi5
14025,Bcl11a
14026,Evl
14027,Evpl
14028,Evx1
14029,Evx2
14030,Ewsr1
14038,Expi
14042,Ext1
14043,Ext2
14048,Eya1
14049,Eya2
14050,Eya3
14051,Eya4
14055,Ezh1
14056,Ezh2
14057,Sfxn1
14058,F10
14060,F13b
14061,F2
14062,F2r
14063,F2rl1
14064,F2rl2
14065,F2rl3
14066,F3
14067,F5
14068,F7
14069,F8
14070,F8a
14071,F9
14073,Faah
14077,Fabp3
14079,Fabp2
14080,Fabp1
14081,Acsl1
14082,Fadd
14083,Ptk2
14084,Faf1
14085,Fah
14086,Fscn1
14087,Fanca
14088,Fancc
14089,Fap
14102,Fas
14103,Fasl
14104,Fasn
14105,Fusip1
14106,Foxh1
14107,Fath
14109,Fau
14114,Fbln1
14115,Fbln2
14118,Fbn1
14119,Fbn2
14120,Fbp2
14121,Fbp1
14123,Fbs1
14125,Fcer1a
14126,Ms4a2
14128,Fcer2a
14129,Fcgr1
14130,Fcgr2b
14131,Fcgr3
14132,Fcgrt
14133,Fcna
14134,Fcnb
14137,Fdft1
14148,Fdx1
14149,Fdxr
14151,Fech
14154,Fem1a
14155,Fem1b
14156,Fen1
14158,Fert2
14159,Fes
14160,Lgr5
14161,Fga
14163,Fgd1
14164,Fgf1
14165,Fgf10
14167,Fgf12
14168,Fgf13
14169,Fgf14
14170,Fgf15
14171,Fgf17
14172,Fgf18
14173,Fgf2
14174,Fgf3
14175,Fgf4
14176,Fgf5
14177,Fgf6
14178,Fgf7
14179,Fgf8
14181,Fgfbp1
14182,Fgfr1
14183,Fgfr2
14184,Fgfr3
14186,Fgfr4
14187,Akr1b8
14190,Fgl2
14191,Fgr
14194,Fh1
14198,Fhit
14199,Fhl1
14200,Fhl2
14202,Fhl4
14204,Il4i1
14205,Figf
14208,Ppm1g
14210,Fin15
14211,Smc2
14218,Sh3pxd2a
14219,Ctgf
14221,Fjx1
14225,Fkbp1a
14226,Fkbp1b
14227,Fkbp2
14228,Fkbp4
14229,Fkbp5
14230,Fkbp10
14231,Fkbp7
14232,Fkbp8
14233,Foxi1
14235,Foxm1
14236,Foxn2
14237,Foxd4
14238,Foxf2
14239,Fkhl18
14240,Foxb2
14241,Foxl1
14245,Lpin1
14248,Fliih
14251,Flot1
14252,Flot2
14254,Flt1
14255,Flt3
14256,Flt3l
14257,Flt4
14260,Fmn1
14261,Fmo1
14262,Fmo3
14263,Fmo5
14264,Fmod
14265,Fmr1
14268,Fn1
14269,Fnbp1
14270,Srgap2
14272,Fnta
14275,Folr1
14276,Folr2
14281,Fos
14282,Fosb
14283,Fosl1
14284,Fosl2
14287,Fpgs
14289,Fpr-rs2
14290,Fpr-rs3
14291,Fpr-rs4
14293,Fpr1
14297,Fxn
14299,Freq
14300,Frg1
14302,Frk
14308,Fshb
14309,Fshr
14311,Cidec
14312,Brd2
14313,Fst
14314,Fstl1
14317,Ftcd
14319,Fth1
14339,Fts
14343,Fut1
14344,Fut2
14345,Fut4
14347,Fut7
14348,Fut9
14349,Fv1
14356,Fxc1
14357,Dtx1
14359,Fxr1h
14360,Fyn
14362,Fzd1
14365,Fzd3
14366,Fzd4
14367,Fzd5
14368,Fzd6
14369,Fzd7
14370,Fzd8
14371,Fzd9
14373,G0s2
14375,Xrcc6
14376,Ganab
14377,G6pc
14378,G6pc2
14381,G6pdx
14385,Slc37a4
14387,Gaa
14388,Gab1
14389,Gab2
14391,Gabpb1
14394,Gabra1
14395,Gabra2
14396,Gabra3
14397,Gabra4
14399,Gabra6
14400,Gabrb1
14401,Gabrb2
14402,Gabrb3
14403,Gabrd
14404,Gabre
14405,Gabrg1
14406,Gabrg2
14407,Gabrg3
14408,Gabrr1
14409,Gabrr2
14411,Slc6a12
14412,Slc6a13
14415,Gad1
14417,Gad2
14419,Gal
14420,Galc
14422,B4galnt2
14423,Galnt1
14425,Galnt3
14426,Galnt4
14427,Galr1
14428,Galr2
14430,Galt
14431,Gamt
14432,Gap43
14447,Gapdhs
14451,Gas1
14453,Gas2
14455,Gas5
14456,Gas6
14457,Gas7
14459,Gast
14460,Gata1
14461,Gata2
14462,Gata3
14463,Gata4
14464,Gata5
14465,Gata6
14466,Gba
14467,Gbas
14468,Gbp1
14469,Gbp2
14470,Rabac1
14472,Gbx2
14473,Gc
14479,Usp15
14489,Mtpn
14525,Gcet2
14526,Gcg
14527,Gcgr
14528,Gch1
14531,Gcm1
14533,Bloc1s1
14534,Gcn5l2
14536,Nr6a1
14537,Gcnt1
14538,Gcnt2
14539,Opn1mw
14544,Gda
14545,Gdap1
14546,Gdap10
14547,Gdap2
14548,Mrps33
14555,Gpd1
14559,Gdf1
14560,Gdf10
14561,Gdf11
14562,Gdf3
14566,Gdf9
14567,Gdi1
14568,Gdi2
14569,Gdi2
14570,Arhgdig
14571,Gpd2
14573,Gdnf
14579,Gem
14580,Gfap
14581,Gfi1
14582,Gfi1b
14583,Gfpt1
14584,Gfpt2
14585,Gfra1
14586,Gfra2
14587,Gfra3
14588,Gfra4
14590,Ggh
14593,Ggps1
14594,Ggta1
14595,B4galt1
14598,Ggt1
14599,Gh
14600,Ghr
14601,Ghrh
14602,Ghrhr
14603,Gif
14605,Tsc22d3
14607,Gip
14608,Gpr83
14609,Gja1
14610,Gja10
14611,Gja3
14612,Gja4
